# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	47733
#@/user_id	macOS
a 	啊	c=44 d=0.977009 t=47733
a 	嗄	c=4 d=8.16683e-28 t=47733
a 	阿	c=1 d=5.80719e-59 t=47733
a a a a a a 	啊啊啊啊啊啊	c=1 d=2.28577e-20 t=47733
a bo luo 	阿波羅	c=5 d=4.26965e-18 t=47733
a ji 	阿继	c=0 d=1.28534e-13 t=47733
a li 	阿狸	c=1 d=6.5542e-60 t=47733
a li 	阿里	c=1 d=8.8949e-35 t=47733
a shou dao fu jia shan ding sa da jia 	啊收到傅家山顶撒大家	c=1 d=0.860708 t=47733
a si dun 	阿斯頓	c=0 d=0.171725 t=47733
a si dun fa 	阿斯頓發	c=21 d=3.77617 t=47733
a si dun fa fa sa dan 	阿斯頓發發撒但	c=1 d=0.878095 t=47733
a si dun fa jiu ka shang 	阿斯頓發就卡上	c=1 d=0.895834 t=47733
a si dun fa shi 	阿斯頓發是	c=1 d=4.41243e-52 t=47733
a si dun fa shi fu ou jia a si dun fa 	阿斯頓發師傅偶家阿斯頓發	c=1 d=2.74067e-67 t=47733
a si dun ji fen ibooks author shou ji fei 	阿斯頓積分iBooks Author手機費	c=1 d=0.873716 t=47733
a ting huan 	阿廷环	c=3 d=9.46132e-26 t=47733
a yo 	啊唷	c=0 d=2.10823e-11 t=47733
ai 	愛	c=10 d=7.91303e-09 t=47733
ai 	艾	c=1 d=1.04981e-13 t=47733
ai ci 	挨次	c=0 d=4.0169e-07 t=47733
ai dao de 	挨刀的	c=1 d=4.60375e-22 t=47733
ai de min 	艾德敏	c=1 d=2.45911e-27 t=47733
ai kang 	爱康	c=24 d=0.3426 t=47733
ai qi yi 	愛奇藝	c=3 d=6.33103e-09 t=47733
ai shang 	愛上	c=0 d=0.0852144 t=47733
ai shang de fa sheng de fa 	愛上的發生地發	c=2 d=0.856415 t=47733
